Protocol,1664582400,1664668800,1664755200,1664841600,1664928000,1665014400,1665100800,1665187200,1665273600,1665360000,1665446400,1665532800,1665619200,1665705600,1665792000,1665878400,1665964800,1666051200,1666137600,1666224000,1666310400,1666396800,1666483200,1666569600,1666656000,1666742400,1666828800,1666915200,1667001600,1667088000,1667174400,1667260800,1667347200,1667433600,1667520000,1667606400,1667692800,1667779200,1667865600,1667952000,1668038400,1668124800,1668211200,1668297600,1668384000,1668470400,1668556800,1668643200,1668729600,1668816000,1668902400,1668988800,1669075200,1669161600,1669248000,1669334400,1669420800,1669507200,1669593600,1669680000,1669766400,1669852800,1669939200,1670025600,1670112000,1670198400,1670284800,1670371200,1670457600,1670544000,1670630400,1670716800
"AuraSwap","","","","","","","","","","","","","","","","","",52.33949268321999,63.75921293251123,27.620128815494564,19.117193982723595,4.863927584499047,58.20688067497968,23.636905304452117,95.56176180013239,80.85463507098365,4.849241396609889,27.563948375842354,13.589123748575998,57.79722684354762,23.35847996244,15.15575717828515,13.908748593555643,18.916333876791132,24.86625502856334,188.14187171303854,77.52012928016487,14.413457381459763,47.991058855214746,55.09498224895966,82.43936580208997,136.20901053959687,8.971945349720864,7.517811021787503,25.22030422486799,9.76540558320804,8.161728397763405,28.321671951954453,7.069200041628711,58.173058286861966,6.097516085375653,3.56224187471242,"","",6.803909463363566,2.7210428519594974,1.1781803452563417,2.5200675994112487,3.861954853566155,7.751277998252926,10.190740519670472,22.683185714495565,0.5825446422962243,7.096987353823253,2.237833427503016,1.3932269024613484,1.7089951317781293,9.659599497814671,4.851179125827192,7.3399425289254765,0.2788819461247677,1.6077343160881064
"AutoShark",2260.487126262132,1877.9842177741543,2397.4914163607555,3089.906507066249,1015.5458888056808,2833.622901891915,1117.6871396606557,631118.0133303131,895.5898877312169,959.4648556796938,1017.8667470037782,1515.9188450076745,2559.42644918865,2336.1881433951785,4084.4917314130266,1429.8184129383692,2091.8450692668816,1841.840293390114,819.8401835735052,1136.8332246857876,499.3030253123589,426.3356266177196,1430.0913971804002,737.544118557488,2666.573004275806,1615.0727999896644,1139.340415369544,1221.4703991251151,2510.861284115084,2079.5956737660536,2919.794152513756,126677.74056014193,2759.684347686466,2802.720878823334,4789.810142897408,2159.4411597915264,1746.2738444667648,3238.581890976278,15412.561216747095,9487.211727371961,6583.473273639827,41790.41656917264,7899.7190985205925,1429.1829912250041,1999.0438790913363,6529.603446053684,2142.1139861372208,1555.4295130794599,958.9266219209848,1185.3114285022903,1348.1530760183095,1528.48173511629,"","",2485.834039417723,2312.7923488134165,3057.203514975026,764.3189614714103,2215.154872691601,4063.548481222541,2793.5613220199034,2362.4911420042754,819.4852609820636,1782.2055351992453,639.3486896685371,1464.8840351259958,2785.1661008196265,730.805287146413,2160.553122212582,615.3801166204333,476.49595888530314,289.4012017138719
"BabyDogeSwap","","","","","","","",191100.48857730004,150751.83248565748,128873.61026232025,120753.1358093707,86395.80258899136,199994.1501741528,123125.21383095272,118188.15780350094,149946.1977060087,288907.0797554767,171701.1884332254,281277.19233177486,199768.33574152368,366684.07408527646,138775.88094609778,180090.99819505148,202641.63805475147,338608.51209298987,423319.91073498066,299768.5780843546,249644.92922003145,840886.9566396164,2189485.9112484665,1384808.9609998346,982646.3114098001,580483.6618197655,487288.12917721394,601452.7192941313,270405.9545301347,367065.66466365254,694430.4055189171,2318868.489439577,1326399.0581732795,938805.1235847044,508217.43625061313,1156747.5939379265,383791.14450770203,412338.88156826806,466456.875558281,254048.37922926978,380877.3923225662,133167.82365039166,196218.99683403617,246697.77185499104,341078.75634895737,"","",278799.3059832943,215088.28975788294,452613.86099593196,232792.9218220528,335227.0904630081,210389.86441116864,376849.32829465426,273960.8136251924,376814.15955637244,136849.23677950207,109518.976911327,207102.24623403104,153806.83147273416,169565.6623966095,212200.98173395195,117198.0257510248,77200.58540076873,111189.06926372243
"BabySwap",1992725.8807701312,424577.4909691013,443873.590235091,785488.0424264862,1440736.8041402632,"",638250.7606741395,284021.4365085536,290628.4211629326,471607.2269119123,492513.32899713423,378583.38362110674,1118436.0291065983,574016.6441047668,266489.75426799204,517562.95951127063,639588.0371858227,967854.9753586379,1115722.4412413677,757848.7313815602,613246.1484477223,316359.6859141048,342027.0536462219,341125.4867106781,876817.160661738,790833.6620108201,1140982.5731769423,803744.5898596898,1238012.7307532092,1112728.8766992276,1608399.3018503995,827282.6035847034,1087095.3256652576,2110820.5914919507,2298629.207517247,1124818.0470604796,918830.9117504985,1451314.1003711394,8301644.677107647,6289008.278927423,4124132.687544643,1930823.011299495,4956099.718015036,1565226.5830221851,1568050.8197451315,1179116.2036914064,982277.0612388349,802217.933218186,376690.2407240646,665585.1546246524,646224.9708719589,958258.0947624771,"","",667563.3153949003,430945.3340271267,555476.1439349022,271702.6717623715,685378.8624104194,475408.31977143866,718125.1447346157,595699.6229429066,739770.1565972958,1156926.562375688,933733.2001038413,481713.95061359805,412306.3869500582,456179.0302268277,688529.7356463285,1136996.0938694796,236776.33804201614,386679.2465441736
"Balancer",201377852.45802784,29631572.137136936,267099791.13456583,52849591.48089671,37954200.990151644,39178851.8199358,46432575.83069253,16158863.373088837,15273022.101883173,20072511.378289223,81415362.81422591,12093565.336062193,61212754.409157276,47952921.322435856,26944071.43923092,13642303.796936512,69890374.62234378,44918619.83331442,62741771.09433532,56439443.18870616,116895854.24602556,27576078.189162493,42790949.07305193,75162707.80212688,104090287.31432176,95327042.81010294,99272989.93624926,75863417.33848119,75403895.64832401,70033826.57077861,110200894.56857514,85307134.7059691,62196624.56078172,61860296.49289775,79488333.1788683,71305602.34701967,71947076.72353554,100210603.62568498,244651265.08418465,469592592.5145054,481013585.21821356,145629493.96609116,113013914.80344129,109889134.44336176,88801837.0335288,57271306.57459211,74677343.37233178,64267517.158856,69884778.11650825,33751012.09943724,60958645.93782544,116976232.90021503,105053713.60022688,96038486.53514433,136892107.341429,63698728.68964481,52893720.35598397,43689094.93800664,88759667.98874378,61142585.84140563,81315804.62606311,98372020.91833258,69336927.36312318,26778570.901000977,23850932.227307796,72469168.41071606,84267529.70318079,75916914.52125597,43166851.74673033,77643271.14943576,19246400.927176,20450998.85887742
"Bancor V2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",11546196.510509,509099.946128,833543.618088,756260.689503,504286.980057,361761.598311,299339.115027,184108.68534999999,359140.255481,638516.1625630001,2404072.660212,1255062.1821579998,768335.393967,428115.55557400006,903982.1809622,747088.4109724,1407831.3832176002,1520460.8344838,1639257.501625,873309.2977500001,142349.006241,307105.30897,448881.13721799996,512115.473254,459443.340467,323336.665805,317446.380712,307577.2347295,86448.476306,129439.64189200001
"BeamSwap",324892.3301062931,437303.857667906,"",587289.537218405,377139.9071581913,540383.1300378428,333291.698656073,"",316978.98921208206,1401258.1344543444,808304.0016241999,874853.7005542314,830049.2533264528,603347.6443417486,521102.5294525742,691542.5365069892,631437.9585243784,798826.1116838378,938812.7764901995,606857.0410381638,756256.897855235,779514.6025342831,206089.56484433875,358725.48970482626,447845.55384121556,410639.6681223144,274354.15054009954,193853.33136383523,369745.1419646757,202799.0847942329,324378.19390888774,472116.3601701482,"",349116.1420683599,394452.49384923576,287341.0210046412,449839.6287544508,313915.44390470313,1265621.272810705,1166481.91579281,760320.4575590411,365981.24467804946,221842.08886206095,270695.3435485031,242029.97338455022,375860.5850500765,252979.49682646213,112996.075629958,122652.84094189093,68673.37289326794,241029.24911357678,136204.33160075123,304817.043302243,"",73297.3041064128,175676.5798460103,193729.89850068043,154172.9496441339,195318.45934670238,184184.85125300556,406826.54937097436,201346.79185854565,371041.7552129663,142546.34414776412,154680.12248952445,382650.3230433136,258427.01189759735,146487.0881802888,304143.6497571124,575538.4019148515,262579.71548430476,137286.01820853614
"Beethoven X",988831.7765904814,"","",1260779.7124532014,1570876.9296580255,1152908.0728956237,787623.6194105297,762188.1391765773,1078107.0142919794,1320867.568955198,1984914.5716968253,2065979.4648217708,2711839.768097751,2009930.2373556048,889630.6731908917,688466.5371071622,1379883.650974542,1536933.6411393732,1581593.6039439142,1654567.222658947,2834217.9766329676,1631388.0741572976,906531.4359197617,1812307.5148852915,1636039.7551508248,2938505.2941309363,3871064.067108318,2364412.11052458,3971862.021600142,3766641.651323989,5078045.739108041,2417115.632926166,4056636.114231929,6293256.757796362,4683660.047544807,"",2347445.358627856,2824889.8024275154,8568211.056475785,12437624.293586796,12827903.916075692,5338623.695395246,2996570.949886799,3837271.8295452297,3865930.947996974,3193544.591217786,3587682.8393523544,3904184.279571295,2157494.323102325,1854736.1133091748,3921312.3370910436,4154851.2910664063,"","",2710465.830540579,3094298.986601279,2818789.2663001325,2451533.172389443,3637648.4379567504,2938579.267448202,4425284.005626559,5370819.94067657,4066727.2248203456,2960106.033256054,2996746.8947028816,5024387.756106019,3840094.3267115057,2768452.072015792,2172927.1753483415,2214394.127824992,1353353.1866291761,2777156.897514999
"BenSwap",3670.011439382068,7473.80086392377,8093.948619588556,4383.590196500974,4391.749895234351,5146.721063308592,4779.319194305334,2800.337608935412,1027.680095082322,8299.083124910236,"",2947.015510548001,"",2826.317899197697,2492.9233709283635,7033.20170028947,837.8981608608422,103731.26920280218,40780.217576824245,3769.5165057332497,4315.020864256509,1272.3656305569466,1196.7565445493171,1699.5740379019508,1677.8943470985196,3939.250296913182,"",2721.2784230954885,3285.1611646599085,1183.9061654630266,3481.191330582756,2698.755394838132,2902.6531895106104,2080.3688271071182,3211.162963504829,2059.6665960624805,3765.424257143822,8938.072125515926,15505.865740157478,9065.442935868143,10244.210279545781,3692.8310313445995,2537.534532846895,3971.602168912379,3508.9945011014797,4234.391862385604,2612.354177087657,2822.0538428202462,2219.573049351938,3106.3512908632088,4038.685697952095,3494.6078016627075,"","",3673.1807837182923,1260.8841798811288,3385.6586364852965,2333.865212100869,4323.875442182061,2955.2615180089006,2846.699194913777,3693.5371224661594,3102.503412003054,2149.2453771352975,2475.737978093056,2280.1137636814374,2816.666838536931,3465.3835548740317,2263.649658310728,2001.2213553994522,7332.151168433821,1973.887741757556
"BiSwap",32123720.59211017,9782725.159021396,9543133.403000316,30201095.723904908,11984488.118399655,45509027.31134058,16154786.177559497,9051210.356823415,6476454.634726117,9891742.185602322,10883440.304411989,7504003.141058338,22505872.471697118,11324180.859461874,5365429.311981518,14347185.481052296,8844571.676716417,10543567.273313077,9479696.695516797,9121610.509830818,8044349.574681491,5771086.700662048,7175396.630948414,10422637.21650352,19883204.93344406,15500111.262617514,17303357.894878097,13735886.315529302,25773364.018598735,21072313.89136587,30813961.38503946,19691055.374478832,21890294.543742202,28237258.228996743,39456748.80514835,17223855.446104538,20041554.652336325,26750168.35595774,133644855.52987993,102520092.2322519,67472180.1399202,34930321.74143792,86741853.96682984,45068189.13873837,39737388.75479788,33134701.94011801,31906212.68276917,21529426.97351013,10017802.93626869,18659924.323863268,12115785.003485242,24339870.630734596,15371357.94468958,32837294.746737957,14511246.41447046,11144424.641436152,11726440.794926831,9245861.544086978,16435475.104716085,11181289.71992388,13719423.140144825,13838342.70832829,14092725.286717316,6710944.3664050475,7068934.821948989,8679721.648180444,8586479.28459691,7905943.797482343,9284220.577467984,6468144.777083411,5348604.462630149,6433894.679476408
"Blue Planet",89586.46286036723,13159.01039543906,51284.22880158666,28225.116685336667,13343.627661976789,17304.927922538547,21266.228183100306,6934.133063454767,53044.71925598482,16002.51495017795,86255.58004729463,43439.70464206478,29126.66996615464,"",18713.116853059826,5718.761370508866,13248.753319515918,47575.98837872401,6310.399674723403,22625.77407771668,93809.00280020281,5221.653742273895,10155.45657240176,29264.62013722153,234571.45361117218,113521.08526900089,"",40024.29568185194,"","",103428.69798594988,132949.1450518968,52229.7219914088,47938.40749221125,67867.95145723013,38134.40084364735,34149.509727447774,65278.48611393267,398930.2060385873,230003.54053615313,160576.06134910995,87247.75060286578,325686.3136678492,59799.60077170449,84301.7179386499,69173.32594896632,231131.08345825132,86282.60121855407,45949.91689981948,40463.244306444445,33191.938876187654,52228.286514642365,"","",55511.487110237824,52360.56473947372,33922.9851425406,14304.502042597125,67273.85079096473,36683.878109829624,32195.002744659854,44185.11494667556,24481.390087060445,38147.78506661846,21502.800159615683,18211.985187810093,12832.855269486336,16976.089831470043,8945.539944733813,4082.322530965082,35259.5662472063,14107.608349158085
"Bogged Finance",613197.4399762154,1191387.2154562622,1312040.11941652,2189138.6313515007,1401082.3185290098,1362996.624136582,912952.10404405,1014677.9544776827,876949.1583367735,1209165.8724039346,1271128.0471067578,798343.3461165428,1195032.7989954278,750684.0998309255,593596.6008940563,972424.7668850124,1306792.7811890692,1093212.516073525,582311.1875392944,392562.623163417,276714.62681908906,398162.52094206214,282169.482839033,348258.8212737441,285368.0719175935,312689.47256954014,329360.459119714,447355.9462793751,321136.3970367064,567383.2937126872,364636.8241263065,486972.31129103404,404636.8891602771,486350.2839580559,684850.801752612,663117.2938199192,2433940.026988432,1960309.58677347,4142710.5366901606,4108607.674156517,2167325.3236854076,3233015.232455343,3247562.1139627993,2968630.7239149064,1776693.99810642,1691491.814623654,2573926.322526023,1473937.394925505,1366953.1291139722,1075978.2457216084,1057201.1594827771,1205851.782197699,1355477.3060749024,1618625.512117818,1340019.1976895928,961680.4793549031,579682.6008749455,1295543.8519374877,438326.94419521093,819078.0776581541,739754.935678795,1112910.6696567386,2611204.436744079,1239032.2130493969,651125.0603731722,"","","","","","",""
"BXH","","","","","","","","","","","","","","","","","",1069.1012023364653,521.110560040658,457.9937784306765,507.05451002422683,190.739890514908,545.7509830849476,462.8819786080466,2285.35435390926,2032.8560707534311,1083.7423012392976,849.081772680576,2343.976100561511,615.1716078768851,1608.1380116901794,987.7624764982089,2861.7812006192084,657.3689088531646,1810.9943845513994,587.1085741709719,844.5246986871095,1267.0163866869577,"",9837.697743680259,6729.814073974328,4938.948258735378,5969.187194633725,2122.1979104428856,2689.8152882393656,2517.4465982459096,1728.836952709518,1390.1218903428187,588.489446013692,1411.8991148867663,1672.8940530369705,2359.604736321515,"","",1013.8097760635443,933.7134907927104,607.7803869450066,318.0025957462526,1302.1762867263349,1579.895365492983,858.3449806753141,478.27475341647425,669.515739289523,760.0006024727321,505.70954135282415,910.4028325758355,609.1655817012029,625.724252390462,910.7159147903566,566.9912766940708,209.3526436469139,162.08146210369551
"Camelot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.9669554977838,14.808117974874929,200.43036900780046,40.27376437854816,105.45348571818893,129.74788258691314,13.403078011099021,391.1698155267729,320.8073564999287,167.150478065792,168.00424622906064,46752.760306441036,292478.61677878397,407964.5867896688,"",189718.8587030318,97049.93415064036,272584.1308779603,215597.90363554645,327235.5605605511,363950.2841729029,565880.946963556,441262.17993147473,290785.69225290034,435707.24066166516,1853757.4706231728,1111312.1689871403,743610.5074719907,423592.83954596764,308381.7942070851,466106.59060025134
"Capricorn Finance",16678.86752827244,120079.01640769094,50553.51075287181,25484.082025145908,29251.854039046513,27273.05841337606,21292.076354628618,6818.345395839557,13360.929253985312,42245.456816952246,22618.082707680675,70223.30205886239,45164.96219685049,174381.5067939314,53558.43766925662,54335.56498520311,41044.45383054928,38651.286508013865,14556.5304294536,109740.99076492368,202866.29107438188,161874.20145997326,32266.37813137316,79755.83092649742,49350.25039615769,136358.34315068112,69245.42754487981,25250.849976028258,24591.80156007047,5817.720711687672,2530.6525026402915,1038.926456146977,1648.6918528619653,7504.233943686576,14644.804364831769,5852.943278480846,8382.85454841405,8960.152679575905,14506.27236919286,64377.17776888156,26634.384776279057,11994.821864804864,10607.639251264276,17663.81796717116,72775.59503939086,12193.168097456635,7446.10043722732,4509.184830934867,1967.9476492573533,10038.416202194721,6340.577891225622,6465.906453711318,8446.434433518167,4619.545521248608,5940.294049398574,5289.544252340608,3689.062746091379,7894.84902962907,4656.172924874713,2321.1245361618353,3069.1091786981,6431.406322899962,5590.738382172704,2428.8498278491766,284.2499398514372,4065.528652975005,3244.316460662614,1458.6281661099306,1545.413630757071,1116.911846443329,987.6180496047549,1166.7936401082989
